WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid,latitude,longitude
"POLYGON ((5.89995479953759 51.2991605079032,5.89997670852656 51.2992039535731,5.89993135589155 51.2992129445419,5.89991026830376 51.2991711402124,5.89994733480418 51.2991622936281,5.89995479953759 51.2991605079032))","1640100000025321",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025321,"1993",Pand in gebruik,,,,"0",pand.f718dff9-48ad-413a-9f50-b03959849374,51.299,5.900
"POLYGON ((5.89998682234881 51.3006789146792,5.89996310941351 51.3006831001214,5.89994755302396 51.3006857934207,5.89993409786066 51.3006546432626,5.89994918238438 51.3006520688997,5.89997288096653 51.3006478835234,5.89997402808176 51.3006504403039,5.89998682234881 51.3006789146792))","1640100000025322",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025322,"1971",Pand in gebruik,,,,"0",pand.39c3f93b-8691-4abb-a3d4-94b09eb0a46f,51.301,5.900
"POLYGON ((5.89997312592686 51.3005917198331,5.89995357465663 51.3005514368545,5.90000415494897 51.3005417846346,5.90002436660374 51.3005834130289,5.8999737862697 51.3005930652576,5.89997312592686 51.3005917198331))","1640100000025323",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025323,"1970",Pand in gebruik,,,,"0",pand.e4b2b51e-14a5-4f41-bad1-36d1f02d009b,51.301,5.900
"POLYGON ((5.90006313659406 51.2999016412808,5.89993871204201 51.2999228100803,5.89992539028566 51.2998920278777,5.90004981476025 51.2998708590926,5.90006313659406 51.2999016412808))","1640100000025325",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025325,"1977",Pand in gebruik,,,,"0",pand.29ee33ba-5680-4718-a61e-3c9ac882a9cf,51.300,5.900
"POLYGON ((5.90013901877737 51.2998595444371,5.90012730827116 51.2998318023906,5.90022170569457 51.2998156287557,5.90032107433772 51.299799073569,5.90033324518427 51.2998269394111,5.90023377400085 51.2998433062933,5.90013901877737 51.2998595444371))","1640100000025327",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025327,"1977",Pand in gebruik,,,,"0",pand.fddae2e1-ccf0-4ce7-8716-f81a1351794a,51.300,5.900
"POLYGON ((5.90027104557595 51.3004777039982,5.90024181957862 51.300482543026,5.90021069000724 51.3004876960603,5.90019699048952 51.3004552256416,5.90025734591759 51.3004452245982,5.90027104557595 51.3004777039982))","1640100000025329",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025329,"1973",Pand in gebruik,,,,"0",pand.5878a64a-2dc2-4af5-80ff-b6f1b3803b8d,51.300,5.900
"POLYGON ((5.90024181957862 51.300482543026,5.90027104557595 51.3004777039982,5.90029806247352 51.3005418015456,5.90026883643814 51.3005466405803,5.90024181957862 51.300482543026))","1640100000025330",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025330,"1970",Pand in gebruik,,,,"0",pand.2c67fe2d-2170-4fbe-8682-6d4e6327bca9,51.301,5.900
"POLYGON ((5.90022351134557 51.2991418941429,5.90025737841711 51.2990855912099,5.90047991592077 51.2991382106667,5.9004460490846 51.299194513664,5.90031632758668 51.2991638403116,5.90027503761138 51.2991540806442,5.90022351134557 51.2991418941429))","1640100000025333",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025333,"2007",Pand in gebruik,,,,"0",pand.b77d52b4-feb8-4d1e-a5d4-7dfb1bbf072e,51.299,5.900
"POLYGON ((5.90047901009369 51.3010837979976,5.90044831608777 51.3010128042492,5.90050222906182 51.3010036494833,5.900532864076 51.3010744906667,5.90047901009369 51.3010837979976))","1640100000025337",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025337,"2001",Pand in gebruik,,,,"0",pand.859f0d8b-2c02-46dd-b678-543088cd9897,51.301,5.900
"POLYGON ((5.90067779359555 51.2991820754593,5.90059409923097 51.2992038023331,5.90057614304314 51.2991766002512,5.90066012341813 51.2991548092059,5.90067779359555 51.2991820754593))","1640100000025339",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025339,"1985",Pand in gebruik,,,,"0",pand.2c8dab47-23b2-471d-9a34-588515cf0ef1,51.299,5.901
