WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.81395059981162 53.3713296072995,6.81392854277109 53.3713350719857,6.81392236615353 53.3713259791928,6.8139256467099 53.3713252213786,6.81386800655624 53.3712409033641,6.81375293415901 53.3712688585763,6.81380999460253 53.3713533722313,6.81381206480217 53.3713528174871,6.81385742052175 53.3714201173397,6.81398991749214 53.3713870038997,6.81395059981162 53.3713296072995)))","0010100000015047",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015047,1980,Pand in gebruik,woonfunctie,220,220,1,pand.2f056c01-5eaa-466a-b3e0-01cf9f0c13a1,6.814,53.371
"MULTIPOLYGON (((6.81633048456815 53.3713599480035,6.81631492551876 53.3712986573841,6.81624496163915 53.3713044310253,6.81624460146859 53.3713030873549,6.81618407913269 53.3713085690721,6.81618560942273 53.3713148323363,6.81611967083758 53.3713205580873,6.81612565838074 53.3713452083491,6.81613854549112 53.3713984430349,6.81620102015102 53.3713933784799,6.81619751207021 53.3713777839444,6.81624410165849 53.3713739954125,6.81624252311858 53.3713671845564,6.81633048456815 53.3713599480035)))","0010100000015048",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015048,1935,Pand in gebruik,woonfunctie,138,138,1,pand.fd85abc8-5fb7-4636-841f-daf3fd66dc45,6.816,53.371
"MULTIPOLYGON (((6.81592122182146 53.3714381288948,6.81596558511632 53.3713849421183,6.81596924370086 53.3713860668868,6.81598543066891 53.3713667337536,6.81599755718258 53.371370372965,6.81603137339858 53.3713298922915,6.81591584892347 53.3712939711564,6.81582028351654 53.371407525074,6.81592122182146 53.3714381288948)))","0010100000015049",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015049,1980,Pand in gebruik,woonfunctie,149,149,1,pand.7b225988-c815-494a-a2a9-a4d08f8273c9,6.816,53.371
"MULTIPOLYGON (((6.81646825757463 53.3727061071602,6.81650551584355 53.3726656393997,6.81635021816007 53.3726145011023,6.81631297510722 53.37265497762,6.81646825757463 53.3727061071602)))","0010100000015082",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015082,2000,Pand in gebruik,,,,0,pand.49d82f87-111b-4e65-9644-b1a913ea432e,6.816,53.373
"MULTIPOLYGON (((6.8140410083144 53.3726602987723,6.81394109256085 53.3725975911016,6.81392341079105 53.3726076857597,6.8138580599234 53.3725677617655,6.81377341575515 53.3726157640177,6.81388775257405 53.3726883205423,6.81397791456469 53.3727455364778,6.81405575338385 53.3727016586466,6.81401477157421 53.3726756800196,6.8140410083144 53.3726602987723)))","0010100000015084",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015084,1800,Verbouwing pand,woonfunctie,215,215,1,pand.427518dc-f347-4eff-add3-5d9103b1cee3,6.814,53.373
"MULTIPOLYGON (((6.81248692944391 53.3727406373367,6.81245984660492 53.3727441034227,6.81243454459178 53.3726829367921,6.81226479776182 53.372707143967,6.8122951030118 53.3727828181778,6.81239052286042 53.3727692866394,6.81240497671449 53.3728023557822,6.81250876382596 53.3727869367431,6.81248692944391 53.3727406373367)))","0010100000015085",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015085,1890,Pand in gebruik,woonfunctie,141,141,1,pand.24e77682-882a-4fad-bca6-5d5275f85c9b,6.812,53.373
"MULTIPOLYGON (((6.81265838501178 53.372789773887,6.81265210199095 53.372774293024,6.8127251692637 53.3727636860312,6.81270694271731 53.3727187996928,6.81267814695838 53.3726478884118,6.81253833989382 53.3726682275463,6.81256332987383 53.3727285890852,6.81250783902121 53.372736795071,6.81253646679847 53.3728071781864,6.81265838501178 53.372789773887)))","0010100000015086",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015086,1948,Pand in gebruik,woonfunctie,188,188,1,pand.71deea4a-2d4f-43f3-b5da-e28b6c57abcd,6.813,53.373
"MULTIPOLYGON (((6.8173407733568 53.3727548315775,6.81734560108615 53.37272422068,6.81742311741401 53.3727281517224,6.81743883940922 53.3726446615696,6.81735194490772 53.3726388650399,6.81734365492216 53.3726787820003,6.81727785727936 53.3726747924746,6.81726982789543 53.3727180312709,6.81724829766413 53.3727167505548,6.81724332255599 53.3727479023793,6.8173407733568 53.3727548315775)))","0010100000015087",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015087,1933,Pand in gebruik,woonfunctie,124,124,1,pand.08f05e10-e8f6-4115-86b0-c06306461402,6.817,53.373
"MULTIPOLYGON (((6.81621027005819 53.3727712406006,6.81625530053078 53.372733133861,6.81615348428449 53.3726902204871,6.81616665069914 53.3726790109118,6.81602429874289 53.3726190556034,6.81595328352162 53.3726792087914,6.816095608522 53.3727392543669,6.81610848380675 53.3727283268325,6.81621027005819 53.3727712406006)))","0010100000015088",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015088,1980,Pand in gebruik,woonfunctie,187,187,1,pand.1398e2d6-3e55-438c-8934-ac479356ed24,6.816,53.373
"MULTIPOLYGON (((6.81369279846957 53.3727408120811,6.81378343838269 53.372680571313,6.8136907962576 53.3726215065028,6.81356508865072 53.3726909246656,6.81361403121956 53.3727213471405,6.81353200098463 53.3727670806278,6.81359681491538 53.3728053127489,6.81369279846957 53.3727408120811)))","0010100000015089",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015089,1976,Pand in gebruik,woonfunctie,171,171,1,pand.49a03516-4bee-4a5a-9fe9-88011b7c0f5d,6.814,53.373
